"appid","max_discount","has_discount","first_discount_date"
"282070",80,TRUE,"2019-05-09"
"282560",80,TRUE,"2019-11-26"
"285190",80,TRUE,"2019-05-16"
"289520",80,TRUE,"2019-06-25"
"289930",80,TRUE,"2019-06-25"
"290080",80,TRUE,"2019-06-25"
"296470",80,TRUE,"2019-04-14"
"296970",80,TRUE,"2019-06-25"
"298110",80,TRUE,"2019-05-16"
"300570",80,TRUE,"2019-06-19"
"301640",80,TRUE,"2019-04-11"
"304530",80,TRUE,"2019-05-28"
"310470",80,TRUE,"2019-04-29"
"312520",80,TRUE,"2019-05-16"
"312530",80,TRUE,"2019-05-30"
"312660",80,TRUE,"2019-04-11"
"314520",80,TRUE,"2019-06-25"
"314660",80,TRUE,"2019-04-07"
"3170",80,TRUE,"2019-06-25"
"318020",80,TRUE,"2019-06-25"
"321800",80,TRUE,"2019-04-11"
"323470",80,TRUE,"2019-04-29"
"323580",80,TRUE,"2019-05-07"
"323850",80,TRUE,"2019-05-30"
"3330",80,TRUE,"2019-06-25"
"338170",80,TRUE,"2019-04-11"
"33930",80,TRUE,"2019-05-16"
"340000",80,TRUE,"2019-06-25"
"340050",80,TRUE,"2019-04-22"
"342970",80,TRUE,"2019-04-08"
"346110",80,TRUE,"2019-04-17"
"3480",80,TRUE,"2019-06-25"
"350110",80,TRUE,"2019-06-25"
"356040",80,TRUE,"2019-05-16"
"356190",80,TRUE,"2019-05-16"
"3590",80,TRUE,"2019-06-25"
"359320",80,TRUE,"2019-04-07"
"360170",80,TRUE,"2019-05-16"
"360450",80,TRUE,"2019-06-25"
"360830",80,TRUE,"2019-05-27"
"361280",80,TRUE,"2019-06-25"
"3620",80,TRUE,"2019-06-25"
"363890",80,TRUE,"2019-04-29"
"368070",80,TRUE,"2019-04-15"
"368590",80,TRUE,"2019-06-25"
"371660",80,TRUE,"2019-05-16"
"373420",80,TRUE,"2019-05-03"
"382080",80,TRUE,"2019-04-22"
"383800",80,TRUE,"2019-06-25"
"384480",80,TRUE,"2019-06-25"
"386700",80,TRUE,"2019-04-29"
"388410",80,TRUE,"2019-04-07"
"3910",80,TRUE,"2019-06-25"
"39160",80,TRUE,"2019-06-21"
"391720",80,TRUE,"2019-05-19"
"394760",80,TRUE,"2019-04-07"
"39540",80,TRUE,"2019-04-30"
"39550",80,TRUE,"2019-04-30"
"397580",80,TRUE,"2019-06-25"
"403640",80,TRUE,"2019-06-07"
"404590",80,TRUE,"2019-06-25"
"407190",80,TRUE,"2019-06-25"
"40970",80,TRUE,"2019-04-07"
"413410",80,TRUE,"2019-04-29"
"413420",80,TRUE,"2019-04-29"
"41500",80,TRUE,"2019-10-27"
"419480",80,TRUE,"2019-05-28"
"420360",80,TRUE,"2020-06-25"
"421020",80,TRUE,"2019-05-24"
"422900",80,TRUE,"2019-06-25"
"423580",80,TRUE,"2019-06-25"
"425220",80,TRUE,"2019-04-29"
"436320",80,TRUE,"2019-06-25"
"438490",80,TRUE,"2019-04-29"
"438640",80,TRUE,"2019-04-18"
"438740",80,TRUE,"2019-06-25"
"44350",80,TRUE,"2019-06-07"
"446800",80,TRUE,"2019-04-24"
"447820",80,TRUE,"2019-06-06"
"452570",80,TRUE,"2019-06-25"
"4560",80,TRUE,"2019-05-07"
"462780",80,TRUE,"2019-04-07"
"466580",80,TRUE,"2019-04-15"
"475150",80,TRUE,"2019-04-07"
"475190",80,TRUE,"2019-10-28"
"475220",80,TRUE,"2019-04-15"
"480490",80,TRUE,"2019-06-07"
"484900",80,TRUE,"2019-04-29"
"48720",80,TRUE,"2019-06-25"
"4920",80,TRUE,"2019-04-27"
"493340",80,TRUE,"2019-04-07"
"493900",80,TRUE,"2019-04-16"
"494670",80,TRUE,"2019-06-25"
"496460",80,TRUE,"2019-06-25"
"50300",80,TRUE,"2019-04-22"
"50620",80,TRUE,"2019-07-18"
"507300",80,TRUE,"2019-05-06"
"509930",80,TRUE,"2019-05-20"
"514900",80,TRUE,"2019-06-25"
"520440",80,TRUE,"2019-04-29"
"522470",80,TRUE,"2019-06-17"
"547040",80,TRUE,"2019-04-08"
"550",80,TRUE,"2019-05-16"
"55140",80,TRUE,"2019-04-07"
"554620",80,TRUE,"2019-06-21"
"561610",80,TRUE,"2019-05-06"
"564230",80,TRUE,"2019-04-29"
"57690",80,TRUE,"2019-06-25"
"57740",80,TRUE,"2019-05-13"
"57900",80,TRUE,"2019-04-22"
"582160",80,TRUE,"2019-05-23"
"583470",80,TRUE,"2019-05-25"
"58610",80,TRUE,"2019-06-28"
"586140",80,TRUE,"2019-04-15"
"587260",80,TRUE,"2019-05-01"
"593280",80,TRUE,"2019-06-25"
"595280",80,TRUE,"2019-06-25"
"602940",80,TRUE,"2019-04-22"
"606330",80,TRUE,"2019-06-25"
"614570",80,TRUE,"2019-06-07"
"622650",80,TRUE,"2019-05-03"
"63910",80,TRUE,"2019-06-25"
"65540",80,TRUE,"2019-06-25"
"65790",80,TRUE,"2019-05-16"
"65930",80,TRUE,"2019-04-22"
"67370",80,TRUE,"2019-04-22"
"6860",80,TRUE,"2019-05-28"
"70400",80,TRUE,"2019-04-29"
"70600",80,TRUE,"2019-05-20"
"732430",80,TRUE,"2019-05-20"
"7510",80,TRUE,"2019-05-20"
"9340",80,TRUE,"2019-05-07"
"9350",80,TRUE,"2019-06-21"
"9420",80,TRUE,"2019-06-21"
"206440",77,TRUE,"2019-06-25"
"210970",77,TRUE,"2019-06-25"
"222480",77,TRUE,"2019-04-25"
"418250",76,TRUE,"2019-06-25"
"518790",76,TRUE,"2019-04-16"
"102500",75,TRUE,"2019-06-25"
"10500",75,TRUE,"2019-06-25"
"105450",75,TRUE,"2019-06-06"
"108800",75,TRUE,"2019-06-25"
"11450",75,TRUE,"2019-06-25"
"115320",75,TRUE,"2019-04-22"
"1250",75,TRUE,"2019-05-14"
"12810",75,TRUE,"2019-06-25"
"15170",75,TRUE,"2019-06-25"
"15320",75,TRUE,"2019-06-25"
"15370",75,TRUE,"2019-06-25"
"15620",75,TRUE,"2019-05-16"
"15700",75,TRUE,"2019-04-07"
"16450",75,TRUE,"2019-06-25"
"16810",75,TRUE,"2019-05-06"
"17300",75,TRUE,"2019-06-25"
"17390",75,TRUE,"2019-04-29"
"17430",75,TRUE,"2019-06-25"
"17440",75,TRUE,"2019-04-29"
"17450",75,TRUE,"2019-06-25"
"17460",75,TRUE,"2019-06-25"
"17470",75,TRUE,"2019-06-25"
"17480",75,TRUE,"2019-06-25"
"18500",75,TRUE,"2019-10-28"
"1930",75,TRUE,"2019-05-20"
"200260",75,TRUE,"2019-05-20"
"200510",75,TRUE,"2019-05-20"
"203630",75,TRUE,"2019-04-15"
"203680",75,TRUE,"2019-05-30"
"203770",75,TRUE,"2019-05-30"
"204030",75,TRUE,"2019-06-25"
"204120",75,TRUE,"2019-04-18"
"204880",75,TRUE,"2019-04-08"
"205610",75,TRUE,"2019-06-25"
"20570",75,TRUE,"2019-05-16"
"205990",75,TRUE,"2019-04-08"
"206190",75,TRUE,"2019-06-09"
"206420",75,TRUE,"2019-05-28"
"207170",75,TRUE,"2019-06-25"
"207610",75,TRUE,"2020-01-23"
"208500",75,TRUE,"2019-05-30"
"208650",75,TRUE,"2019-05-20"
"209000",75,TRUE,"2019-05-20"
"209650",75,TRUE,"2019-04-07"
"209660",75,TRUE,"2019-04-07"
"2100",75,TRUE,"2019-06-25"
"21000",75,TRUE,"2019-04-18"
"21090",75,TRUE,"2019-06-25"
"21100",75,TRUE,"2019-06-25"
"21130",75,TRUE,"2019-06-25"
"212480",75,TRUE,"2019-12-19"
"212680",75,TRUE,"2019-06-25"
"213330",75,TRUE,"2019-04-18"
"214510",75,TRUE,"2020-06-25"
"214950",75,TRUE,"2019-06-25"
"215930",75,TRUE,"2019-05-20"
"21690",75,TRUE,"2019-04-25"
"218680",75,TRUE,"2019-06-25"
"219150",75,TRUE,"2019-06-10"
"219740",75,TRUE,"2019-06-06"
"220200",75,TRUE,"2019-05-30"
"220440",75,TRUE,"2019-04-25"
"221040",75,TRUE,"2019-04-25"
"22130",75,TRUE,"2019-05-06"
"221380",75,TRUE,"2019-06-06"
"221540",75,TRUE,"2019-10-28"
"222440",75,TRUE,"2019-04-29"
"222880",75,TRUE,"2019-06-25"
"222940",75,TRUE,"2019-04-29"
"22300",75,TRUE,"2019-05-16"
"22370",75,TRUE,"2019-05-16"
"22380",75,TRUE,"2019-05-16"
"223830",75,TRUE,"2019-06-25"
"224480",75,TRUE,"2019-06-25"
"224760",75,TRUE,"2019-06-25"
"225420",75,TRUE,"2019-04-22"
"225640",75,TRUE,"2019-06-25"
"226580",75,TRUE,"2019-05-30"
"226840",75,TRUE,"2019-04-07"
"227300",75,TRUE,"2019-05-20"
"228180",75,TRUE,"2019-04-18"
"228280",75,TRUE,"2019-04-11"
"233130",75,TRUE,"2019-06-10"
"233450",75,TRUE,"2019-04-16"
"233720",75,TRUE,"2019-06-25"
"234650",75,TRUE,"2019-04-22"
"235380",75,TRUE,"2019-05-06"
"235460",75,TRUE,"2019-04-29"
"235540",75,TRUE,"2019-05-16"
"235800",75,TRUE,"2019-06-25"
"236090",75,TRUE,"2019-06-25"
"236430",75,TRUE,"2019-06-13"
"237110",75,TRUE,"2019-06-20"
"237850",75,TRUE,"2019-05-09"
"238370",75,TRUE,"2019-04-07"
"238430",75,TRUE,"2019-05-16"
"238750",75,TRUE,"2019-06-25"
"239840",75,TRUE,"2019-05-16"
"240760",75,TRUE,"2019-05-16"
"24240",75,TRUE,"2019-06-25"
"242550",75,TRUE,"2019-06-25"
"242920",75,TRUE,"2019-06-25"
"243970",75,TRUE,"2019-06-06"
"244210",75,TRUE,"2019-05-24"
"245170",75,TRUE,"2019-04-29"
"24670",75,TRUE,"2019-06-25"
"24720",75,TRUE,"2019-04-29"
"24740",75,TRUE,"2019-06-25"
"24780",75,TRUE,"2019-06-25"
"24790",75,TRUE,"2019-06-25"
"24800",75,TRUE,"2019-06-25"
"24810",75,TRUE,"2019-06-25"
"248170",75,TRUE,"2019-06-25"
"24840",75,TRUE,"2019-06-25"
"24870",75,TRUE,"2019-06-25"
"248820",75,TRUE,"2019-06-25"
"248860",75,TRUE,"2019-05-06"
"249050",75,TRUE,"2019-06-25"
"249130",75,TRUE,"2019-04-18"
"249230",75,TRUE,"2019-04-22"
"24960",75,TRUE,"2019-06-25"
"24980",75,TRUE,"2019-06-25"
"250320",75,TRUE,"2019-09-03"
"251110",75,TRUE,"2019-04-30"
"251730",75,TRUE,"2019-06-25"
"252410",75,TRUE,"2019-05-31"
"252490",75,TRUE,"2019-06-25"
"252690",75,TRUE,"2019-05-17"
"254700",75,TRUE,"2019-06-25"
"257350",75,TRUE,"2019-04-11"
"25800",75,TRUE,"2019-05-30"
"25830",75,TRUE,"2019-04-08"
"25890",75,TRUE,"2019-04-29"
"258970",75,TRUE,"2019-06-25"
"261030",75,TRUE,"2020-01-23"
"261470",75,TRUE,"2019-06-25"
"261640",75,TRUE,"2019-04-07"
"262060",75,TRUE,"2019-06-06"
"263280",75,TRUE,"2019-04-10"
"265610",75,TRUE,"2019-06-25"
"265930",75,TRUE,"2019-06-25"
"266510",75,TRUE,"2019-04-19"
"266840",75,TRUE,"2019-06-25"
"267530",75,TRUE,"2019-06-25"
"268050",75,TRUE,"2019-06-07"
"268500",75,TRUE,"2019-05-16"
"270880",75,TRUE,"2019-05-20"
"271360",75,TRUE,"2019-04-16"
"272270",75,TRUE,"2019-06-25"
"274170",75,TRUE,"2019-06-10"
"274190",75,TRUE,"2019-06-10"
"274940",75,TRUE,"2019-04-29"
"281990",75,TRUE,"2019-05-09"
"282400",75,TRUE,"2019-04-08"
"283640",75,TRUE,"2019-06-25"
"285160",75,TRUE,"2020-06-25"
"286570",75,TRUE,"2019-05-30"
"286690",75,TRUE,"2019-05-16"
"287260",75,TRUE,"2019-06-25"
"287390",75,TRUE,"2019-05-16"
"287450",75,TRUE,"2019-06-25"
"288470",75,TRUE,"2019-06-25"
"289070",75,TRUE,"2019-05-06"
"289130",75,TRUE,"2019-06-25"
"293780",75,TRUE,"2019-06-25"
"297000",75,TRUE,"2019-06-25"
"298630",75,TRUE,"2019-04-07"
"300550",75,TRUE,"2019-04-29"
"301120",75,TRUE,"2019-06-25"
"301910",75,TRUE,"2019-05-28"
"302670",75,TRUE,"2019-11-07"
"304240",75,TRUE,"2019-06-25"
"305620",75,TRUE,"2019-05-07"
"307960",75,TRUE,"2019-05-15"
"311340",75,TRUE,"2019-04-29"
"313690",75,TRUE,"2019-04-18"
"313780",75,TRUE,"2019-04-29"
"314160",75,TRUE,"2019-06-25"
"319510",75,TRUE,"2019-12-23"
"319910",75,TRUE,"2019-05-16"
"321360",75,TRUE,"2019-06-25"
"322170",75,TRUE,"2019-06-25"
"322190",75,TRUE,"2019-05-31"
"322520",75,TRUE,"2019-10-17"
"32440",75,TRUE,"2019-05-02"
"324800",75,TRUE,"2019-06-10"
